Date Time,Pressure (psi),Temperature (C),Depth (ft),Water table elevation (ft),Water table elevation (m)
2022-01-26 17:30:00.000,14.684000000000001,4.901,33.92004,10299.693249321566,3139.346502393213
2022-01-26 18:30:00.000,14.698,4.912,33.952380000000005,10299.745406530943,3139.3623999106317
2022-01-26 19:30:00.000,14.696,4.902,33.947759999999995,10299.770911543803,3139.370173838551
2022-01-26 20:30:00.000,14.699000000000002,4.868,33.95469,10299.7815792934,3139.3734253686284
2022-01-26 21:30:00.000,14.704,4.888999999999999,33.96624,10299.777527088045,3139.372190256436
2022-01-26 22:30:00.000,14.697000000000001,4.901,33.950070000000004,10299.778016389646,3139.3723393955647
2022-01-26 23:30:00.000,14.695,4.871,33.94545,10299.754872673566,3139.3652851909033
2022-01-27 00:30:00.000,14.704,4.873,33.96624,10299.7813183615,3139.373345836585
2022-01-27 01:30:00.000,14.69,4.893,33.9339,10299.73108355078,3139.3580342662785
2022-01-27 02:30:00.000,14.681,4.88,33.91311,10299.702091019148,3139.349197342636
2022-01-27 03:30:00.000,14.681,4.886,33.91311,10299.71351390306,3139.352679037653
2022-01-27 04:30:00.000,14.684000000000001,4.855,33.92004,10299.721237840324,3139.355033293731
2022-01-27 05:30:00.000,14.681,4.879,33.91311,10299.71598492129,3139.3534322040086
2022-01-27 06:30:00.000,14.698,4.873,33.952380000000005,10299.739581350783,3139.360624395719
2022-01-27 07:30:00.000,14.677999999999999,4.923,33.906180000000006,10299.694732828264,3139.3469545660555
2022-01-27 08:30:00.000,14.675999999999998,4.8919999999999995,33.901559999999996,10299.684470521297,3139.3438266148905
2022-01-27 09:30:00.000,14.686,4.8919999999999995,33.924659999999996,10299.707494695826,3139.350844383288
2022-01-27 10:30:00.000,14.704,4.885,33.96624,10299.738798114597,3139.3603856653285
2022-01-27 11:30:00.000,14.689,4.898,33.93159,10299.692979469022,3139.3464201421584
2022-01-27 12:30:00.000,14.695,4.859,33.94545,10299.682098064472,3139.343103490052
2022-01-27 13:30:00.000,14.693,4.874,33.94083,10299.668557421044,3139.338976301934
2022-01-27 14:30:00.000,14.689,4.885,33.93159,10299.636244176814,3139.3291272250926
