ID,Northing,Easting,Elevation (m),Lat,Lon
BH1,4310406.941890462,328418.0617549734,3138.237,38.92581602,-106.9793553
BH2,4310416.696087751,328383.66674242803,3141.711,38.92589714,-106.9797543
SG-PZ-01,4310566.739339484,328391.63514279365,3163.48,38.92725,-106.9797
SG-PZ-02,4310164.03619445,328579.78120834334,3093.72,38.92366,-106.97743
SG-PZ-04,4310039.377721312,328644.7326120069,3070.75,38.92255,-106.97665
SG-PZ-05,4309825.311747362,328685.19591396407,3036.18,38.92063,-106.97613
SNI-1,4310449.712157094,328379.8563302901,3145.58,38.92619374,-106.9798065
SNI-2,4310397.460110017,328652.94832880667,3124.02,38.92577653,-106.9766448
SNI1-ERT,4310423.796832963,328380.9067071726,3144.167,38.92596055,-106.9797879
