@Soil_Perm@,@Soil_Poro@,@103_Perm@,@103_Poro@,@104_Perm@,@104_Poro@,@Diff_Temp_conifer@,@Melt_rate_conifer@
1.1819871e-12,0.27850512,6.736465e-14,0.10875134,3.2704135e-12,0.12235013,2.6704812,1.816139
2.2890908e-12,0.39427516,1.0234913e-13,0.16561918,2.2392886e-12,0.06288764,2.99766,2.1241202
1.9161046e-12,0.24232768,7.747304e-14,0.18149172,2.3006712e-12,0.10999775,2.443108,1.8235999
4.09342e-12,0.37339768,1.2335993e-13,0.14572942,4.720991e-12,0.05255005,2.5085754,1.8658624
1.9752058e-12,0.33903235,1.4521744e-13,0.13415577,2.9503104e-12,0.08096288,2.5958564,1.8840578
1.3699823e-12,0.30421755,6.039223e-14,0.10174696,3.0346131e-12,0.13996604,2.6749654,1.9202408
2.3021318e-12,0.27796346,1.8433258e-13,0.11776015,3.370044e-12,0.080606885,2.5227492,1.8092707
1.1848041e-12,0.41258994,8.415821e-14,0.15537289,4.10368e-12,0.08577153,2.5672534,1.9310298
1.6481081e-12,0.35957706,8.289122e-14,0.1497621,4.517644e-12,0.108841024,2.6902342,1.9748201
2.818722e-12,0.32299143,1.6342332e-13,0.12717742,3.5094377e-12,0.09453471,2.510652,1.8969977
1.9613575e-12,0.34538892,1.3982047e-13,0.16959476,3.9438604e-12,0.068661444,2.5132544,1.8370371
2.4826504e-12,0.43500257,8.1123076e-14,0.14502315,1.4801158e-12,0.07387324,2.7241006,1.9198799
1.5803051e-12,0.28342247,1.0212126e-13,0.1413608,3.0246606e-12,0.09399632,2.8764174,2.0289426
1.4379205e-12,0.32898766,8.467466e-14,0.16547017,1.8797097e-12,0.0746336,2.4835353,1.837131
3.0598735e-12,0.348486,9.8242425e-14,0.14556041,2.530514e-12,0.10694504,2.9040728,2.02743
3.809247e-12,0.40515256,1.3170237e-13,0.14849514,3.6129686e-12,0.083386056,2.5533965,1.8330137
1.1664725e-12,0.28600004,1.05236234e-13,0.11983451,4.7990284e-12,0.07346463,2.618269,1.8444352
2.956504e-12,0.27663046,1.00196286e-13,0.12633885,2.6484498e-12,0.084305204,2.547416,1.8082585
1.7598273e-12,0.43532667,6.126782e-14,0.1293749,3.8542967e-12,0.10136224,2.3016262,1.8346939
2.219886e-12,0.22405253,1.8492491e-13,0.13449824,2.623767e-12,0.071492694,2.8065517,2.0104408
3.7841687e-12,0.41015086,7.556749e-14,0.14508267,3.0414846e-12,0.08468866,2.24006,1.6956915
2.962652e-12,0.3924168,1.1669286e-13,0.16101684,4.95501e-12,0.09397225,2.8565235,2.0240088
4.112846e-12,0.38638422,1.2501468e-13,0.13040753,3.549889e-12,0.086201966,2.781281,1.9623249
2.0169012e-12,0.28779855,1.0286307e-13,0.14317462,3.715366e-12,0.082521185,2.4502609,1.7754804
2.0422646e-12,0.41861412,1.0718011e-13,0.17011449,3.2099223e-12,0.06224777,2.6981966,1.9026059
1.3836144e-12,0.2873316,6.1626465e-14,0.14454867,3.5143193e-12,0.12195377,2.9699671,2.0951872
2.6442715e-12,0.32543555,1.161547e-13,0.11461018,2.3899372e-12,0.07980421,2.7031727,1.9333878
1.4938102e-12,0.40369067,1.5343167e-13,0.11445399,3.3546937e-12,0.061014775,2.3872433,1.7260635
3.5251322e-12,0.32217702,5.5214242e-14,0.1251367,3.919978e-12,0.1227956,2.675617,1.8425987
1.8288554e-12,0.41453734,1.09925056e-13,0.12304316,2.7571972e-12,0.0711109,2.6880472,1.893708
2.250533e-12,0.2390669,1.777807e-13,0.13926542,3.6018467e-12,0.07374238,2.8418827,1.9970226
1.8229773e-12,0.33309907,1.3591888e-13,0.12802756,3.033827e-12,0.06836351,2.7378361,1.8029461
1.0771546e-12,0.2740699,6.806306e-14,0.14485268,3.725104e-12,0.12622462,2.5485597,1.832783
1.7554736e-12,0.37697676,8.579484e-14,0.16429168,4.249239e-12,0.087315574,2.8202434,2.0017931
2.7307215e-12,0.34379414,1.11442404e-13,0.1350785,3.737304e-12,0.089039974,2.618327,1.8336626
1.4819306e-12,0.26318428,8.867858e-14,0.13569228,2.75939e-12,0.09150504,2.7435946,1.919075
2.9123969e-12,0.39036655,6.1617805e-14,0.1297436,2.9070871e-12,0.116765745,2.451567,1.745359
1.6612834e-12,0.25162014,1.5263557e-13,0.1373946,4.0670154e-12,0.07961594,2.6819437,1.932453
2.1515303e-12,0.421992,5.926191e-14,0.13594605,4.135305e-12,0.088688664,2.8244138,1.8496736
4.4709045e-12,0.3744182,5.5908582e-14,0.15433303,3.3797377e-12,0.11116395,2.7254486,1.9404634
3.586118e-12,0.44991952,1.268141e-13,0.13160196,4.2989726e-12,0.059424628,2.3433952,1.6543871
3.673295e-12,0.2400068,1.0847099e-13,0.14182055,3.2858614e-12,0.10604475,2.380085,1.8208518
2.2229688e-12,0.35773546,5.6301843e-14,0.1775847,3.125495e-12,0.099318735,2.6877146,1.885417
4.6989405e-12,0.37229377,1.4077521e-13,0.15830924,2.5172902e-12,0.09978251,2.6235492,1.9339092
3.061157e-12,0.33625764,1.6967099e-13,0.14286757,3.4098618e-12,0.07260637,2.8218436,2.0439599
1.5013542e-12,0.3358174,1.3927196e-13,0.123507805,2.9355244e-12,0.11357269,2.7769282,2.0484843
1.4252141e-12,0.25315496,7.64276e-14,0.15656242,4.626369e-12,0.09710639,2.5847933,1.8772514
3.5776544e-12,0.31474748,1.3946078e-13,0.14303043,4.5880864e-12,0.09176867,2.7500436,1.930677
3.112646e-12,0.40060398,8.8147595e-14,0.14806113,2.6955766e-12,0.11473798,2.5893998,1.882872
2.0214505e-12,0.36098027,1.0980009e-13,0.15295841,2.3756893e-12,0.06725065,2.5203457,1.7904266
3.5155698e-12,0.41675848,1.3518307e-13,0.11666248,4.3510746e-12,0.07733675,2.4354997,1.7370027
1.0048316e-12,0.36300096,7.441626e-14,0.15161598,3.3737388e-12,0.10733509,2.3877037,1.8114864
1.6066426e-12,0.38441852,9.578626e-14,0.14699146,4.2059416e-12,0.113675274,2.5375893,1.806543
2.0717512e-12,0.48455048,9.6340206e-14,0.11119119,3.0242755e-12,0.08668854,2.6143105,1.8495603
1.0660971e-12,0.23270588,9.302962e-14,0.13890606,4.2733625e-12,0.1033364,2.752252,1.9836614
3.752781e-12,0.2915957,1.4388112e-13,0.1448637,2.7110285e-12,0.07177678,2.6279178,1.900197
3.4772424e-12,0.30307963,1.1341944e-13,0.12863193,3.0153829e-12,0.09712832,2.6239157,1.9530604
3.0369132e-12,0.40780047,1.138959e-13,0.11815619,3.50464e-12,0.093895815,2.5996165,1.9096931
1.5567052e-12,0.37902233,7.69319e-14,0.14460102,4.320588e-12,0.14082567,2.6052601,1.8334115
1.5424716e-12,0.3550738,7.402495e-14,0.15188837,4.2863694e-12,0.10976871,2.7600665,2.064534
