Date,Date,Q (m3/s),T (C)
2022-05-02 01:00:00,2022-05-02 01:00:00,0.001752221,
2022-05-02 02:00:00,2022-05-02 02:00:00,0.001761494,
2022-05-02 03:00:00,2022-05-02 03:00:00,0.001909262,
2022-05-02 04:00:00,2022-05-02 04:00:00,0.001959686,
2022-05-02 05:00:00,2022-05-02 05:00:00,0.001901017,
2022-05-02 06:00:00,2022-05-02 06:00:00,0.001993555,
2022-05-02 07:00:00,2022-05-02 07:00:00,0.001930321,
2022-05-02 08:00:00,2022-05-02 08:00:00,0.001539461,
2022-05-02 09:00:00,2022-05-02 09:00:00,0.001646208,
2022-05-02 10:00:00,2022-05-02 10:00:00,0.00191715,
2022-05-02 11:00:00,2022-05-02 11:00:00,0.001895211,
2022-05-02 12:00:00,2022-05-02 12:00:00,0.001859795,
2022-05-02 13:00:00,2022-05-02 13:00:00,0.001779766,
2022-05-02 14:00:00,2022-05-02 14:00:00,0.001937501,
2022-05-02 15:00:00,2022-05-02 15:00:00,0.001955485,
2022-05-02 16:00:00,2022-05-02 16:00:00,0.001862811,
2022-05-02 17:00:00,2022-05-02 17:00:00,0.002152393,
2022-05-02 18:00:00,2022-05-02 18:00:00,0.002501077,
2022-05-02 19:00:00,2022-05-02 19:00:00,0.002162284,
2022-05-02 20:00:00,2022-05-02 20:00:00,0.002195193,
2022-05-02 21:00:00,2022-05-02 21:00:00,0.0023279,
2022-05-02 22:00:00,2022-05-02 22:00:00,0.002190816,
2022-05-02 23:00:00,2022-05-02 23:00:00,0.002120126,
2022-05-03 00:00:00,2022-05-03 00:00:00,0.002079573,
2022-05-03 01:00:00,2022-05-03 01:00:00,0.002189983,
2022-05-03 02:00:00,2022-05-03 02:00:00,0.002147074,
2022-05-03 03:00:00,2022-05-03 03:00:00,0.002134548,
2022-05-03 04:00:00,2022-05-03 04:00:00,0.001808883,
2022-05-03 05:00:00,2022-05-03 05:00:00,0.001895447,
2022-05-03 06:00:00,2022-05-03 06:00:00,0.001964353,
2022-05-03 07:00:00,2022-05-03 07:00:00,0.001708195,
2022-05-03 08:00:00,2022-05-03 08:00:00,0.002042678,
2022-05-03 09:00:00,2022-05-03 09:00:00,0.001944252,
2022-05-03 10:00:00,2022-05-03 10:00:00,0.001748677,
2022-05-03 11:00:00,2022-05-03 11:00:00,0.001976419,
2022-05-03 12:00:00,2022-05-03 12:00:00,0.001902062,
2022-05-03 13:00:00,2022-05-03 13:00:00,0.001965862,
2022-05-03 14:00:00,2022-05-03 14:00:00,0.001906964,
2022-05-03 15:00:00,2022-05-03 15:00:00,0.001990628,
2022-05-03 16:00:00,2022-05-03 16:00:00,0.00253639,
2022-05-03 17:00:00,2022-05-03 17:00:00,0.001608783,
2022-05-03 18:00:00,2022-05-03 18:00:00,0.001737172,
2022-05-03 19:00:00,2022-05-03 19:00:00,0.001987277,
2022-05-03 20:00:00,2022-05-03 20:00:00,0.002010013,
2022-05-03 21:00:00,2022-05-03 21:00:00,0.001982319,
2022-05-03 22:00:00,2022-05-03 22:00:00,0.001805564,
2022-05-03 23:00:00,2022-05-03 23:00:00,0.001617134,
2022-05-04 00:00:00,2022-05-04 00:00:00,0.001631453,
2022-05-04 01:00:00,2022-05-04 01:00:00,0.001288027,
2022-05-04 02:00:00,2022-05-04 02:00:00,0.00152722,
2022-05-04 03:00:00,2022-05-04 03:00:00,0.001585943,
2022-05-04 04:00:00,2022-05-04 04:00:00,0.001543035,
2022-05-04 05:00:00,2022-05-04 05:00:00,0.001564518,
2022-05-04 06:00:00,2022-05-04 06:00:00,0.001309541,
2022-05-04 07:00:00,2022-05-04 07:00:00,0.001407487,
2022-05-04 08:00:00,2022-05-04 08:00:00,0.00118347,
2022-05-04 09:00:00,2022-05-04 09:00:00,0.001379693,
2022-05-04 10:00:00,2022-05-04 10:00:00,0.00129146,
2022-05-04 11:00:00,2022-05-04 11:00:00,0.001404436,
2022-05-04 12:00:00,2022-05-04 12:00:00,0.001176408,
2022-05-04 13:00:00,2022-05-04 13:00:00,0.001651955,
2022-05-04 14:00:00,2022-05-04 14:00:00,0.001415473,
2022-05-04 15:00:00,2022-05-04 15:00:00,0.001606886,
2022-05-04 16:00:00,2022-05-04 16:00:00,0.001468769,
2022-05-04 17:00:00,2022-05-04 17:00:00,0.001760341,
2022-05-04 18:00:00,2022-05-04 18:00:00,0.001186454,
2022-05-04 19:00:00,2022-05-04 19:00:00,0.001381624,
2022-05-04 20:00:00,2022-05-04 20:00:00,0.001622228,
2022-05-04 21:00:00,2022-05-04 21:00:00,0.001485268,
2022-05-04 22:00:00,2022-05-04 22:00:00,0.001606152,
2022-05-04 23:00:00,2022-05-04 23:00:00,0.001672235,
2022-05-05 00:00:00,2022-05-05 00:00:00,0.001212437,
2022-05-05 01:00:00,2022-05-05 01:00:00,0.001574481,
2022-05-05 02:00:00,2022-05-05 02:00:00,0.001086975,
2022-05-05 03:00:00,2022-05-05 03:00:00,0.00126516,
2022-05-05 04:00:00,2022-05-05 04:00:00,0.001237819,
2022-05-05 05:00:00,2022-05-05 05:00:00,0.001052903,
2022-05-05 06:00:00,2022-05-05 06:00:00,0.001198207,
2022-05-05 07:00:00,2022-05-05 07:00:00,0.001189499,
2022-05-05 08:00:00,2022-05-05 08:00:00,0.001193287,
2022-05-05 09:00:00,2022-05-05 09:00:00,0.001157214,
2022-05-05 10:00:00,2022-05-05 10:00:00,0.001345302,
2022-05-05 11:00:00,2022-05-05 11:00:00,0.001627581,
2022-05-05 12:00:00,2022-05-05 12:00:00,0.001418505,
2022-05-05 13:00:00,2022-05-05 13:00:00,0.001691294,
2022-05-05 14:00:00,2022-05-05 14:00:00,0.001877302,
2022-05-05 15:00:00,2022-05-05 15:00:00,0.002100506,
2022-05-05 16:00:00,2022-05-05 16:00:00,0.0027678,
2022-05-05 17:00:00,2022-05-05 17:00:00,0.003546516,
2022-05-05 18:00:00,2022-05-05 18:00:00,0.003789686,
